[TAILING] Tailing last 1000 lines for [all] processes (change the value with --lines option)
/Users/dsoojung/.pm2/pm2.log last 1000 lines:
PM2        | 2024-05-21T07:36:58: PM2 log: App [devIndex:0] starting in -fork mode-
PM2        | 2024-05-21T07:36:58: PM2 log: App [devIndex:0] online
PM2        | 2024-05-21T07:37:14: PM2 log: App [devIndex:1] starting in -fork mode-
PM2        | 2024-05-21T07:37:14: PM2 log: App [devIndex:1] online
PM2        | 2024-05-27T08:38:29: PM2 log: [PM2] This PM2 is not UP TO DATE
PM2        | 2024-05-27T08:38:29: PM2 log: [PM2] Upgrade to version 5.4.0
PM2        | 2024-05-28T08:38:31: PM2 log: [PM2] This PM2 is not UP TO DATE
PM2        | 2024-05-28T08:38:31: PM2 log: [PM2] Upgrade to version 5.4.0
PM2        | 2024-05-29T08:45:38: PM2 log: [PM2] This PM2 is not UP TO DATE
PM2        | 2024-05-29T08:45:38: PM2 log: [PM2] Upgrade to version 5.4.0
PM2        | 2024-05-30T08:45:39: PM2 log: [PM2] This PM2 is not UP TO DATE
PM2        | 2024-05-30T08:45:39: PM2 log: [PM2] Upgrade to version 5.4.0
PM2        | 2024-05-30T14:18:52: PM2 log: App [index:2] starting in -fork mode-
PM2        | 2024-05-30T14:18:52: PM2 log: App [index:2] online
PM2        | 2024-05-30T14:18:54: PM2 log: App [index:2] exited with code [1] via signal [SIGINT]
PM2        | 2024-05-30T14:18:54: PM2 log: App [index:2] starting in -fork mode-
PM2        | 2024-05-30T14:18:54: PM2 log: App [index:2] online
PM2        | 2024-05-30T14:18:55: PM2 log: App [index:2] exited with code [1] via signal [SIGINT]
PM2        | 2024-05-30T14:18:55: PM2 log: App [index:2] starting in -fork mode-
PM2        | 2024-05-30T14:18:55: PM2 log: App [index:2] online
PM2        | 2024-05-30T14:18:55: PM2 log: App [index:2] exited with code [1] via signal [SIGINT]
PM2        | 2024-05-30T14:18:55: PM2 log: App [index:2] starting in -fork mode-
PM2        | 2024-05-30T14:18:55: PM2 log: App [index:2] online
PM2        | 2024-05-30T14:18:55: PM2 log: App [index:2] exited with code [1] via signal [SIGINT]
PM2        | 2024-05-30T14:18:55: PM2 log: App [index:2] starting in -fork mode-
PM2        | 2024-05-30T14:18:55: PM2 log: App [index:2] online
PM2        | 2024-05-30T14:18:56: PM2 log: App [index:2] exited with code [1] via signal [SIGINT]
PM2        | 2024-05-30T14:18:56: PM2 log: App [index:2] starting in -fork mode-
PM2        | 2024-05-30T14:18:56: PM2 log: App [index:2] online
